filename,genre,id,title,author,year,subjects,locc,source_url
nonfiction\45304_The_City_of_God_Volume_I.txt,nonfiction,45304,"The City of God, Volume I","Augustine, of Hippo, Saint, 354-430; Dods, Marcus, 1834-1909 [Editor]",2014,Apologetics -- Early works to 1800; Kingdom of God -- Early works to 1800,BR,https://www.gutenberg.org/ebooks/45304
fiction\84_Frankenstein_or_the_modern_prometheus.txt,fiction,84,"Frankenstein; or, the modern prometheus","Shelley, Mary Wollstonecraft, 1797-1851",1993,"Science fiction; Horror tales; Gothic fiction; Scientists -- Fiction; Monsters -- Fiction; Frankenstein, Victor (Fictitious character) -- Fiction; Frankenstein's monster (Fictitious character) -- Fiction",PR,https://www.gutenberg.org/ebooks/84
fiction\2701_Moby_Dick_Or_The_Whale.txt,fiction,2701,"Moby Dick; Or, The Whale","Melville, Herman, 1819-1891",2001,"Whaling -- Fiction; Sea stories; Psychological fiction; Ship captains -- Fiction; Adventure stories; Mentally ill -- Fiction; Ahab, Captain (Fictitious character) -- Fiction; Whales -- Fiction; Whaling ships -- Fiction",PS,https://www.gutenberg.org/ebooks/2701
fiction\1342_Pride_and_Prejudice.txt,fiction,1342,Pride and Prejudice,"Austen, Jane, 1775-1817",1998,England -- Fiction; Young women -- Fiction; Love stories; Sisters -- Fiction; Domestic fiction; Courtship -- Fiction; Social classes -- Fiction,PR,https://www.gutenberg.org/ebooks/1342
fiction\2554_Crime_and_Punishment.txt,fiction,2554,Crime and Punishment,"Dostoyevsky, Fyodor, 1821-1881; Garnett, Constance, 1861-1946 [Translator]",2006,Detective and mystery stories; Psychological fiction; Saint Petersburg (Russia) -- Fiction; Murder -- Fiction; Crime -- Psychological aspects -- Fiction,PG,https://www.gutenberg.org/ebooks/2554
fiction\43_The_strange_case_of_Dr_Jekyll_and_Mr_Hyde.txt,fiction,43,The strange case of Dr. Jekyll and Mr. Hyde,"Stevenson, Robert Louis, 1850-1894",2008,Science fiction; Horror tales; London (England) -- Fiction; Physicians -- Fiction; Psychological fiction; Self-experimentation in medicine -- Fiction; Multiple personality -- Fiction,PR,https://www.gutenberg.org/ebooks/43
fiction\11_Alices_Adventures_in_Wonderland.txt,fiction,11,Alice's Adventures in Wonderland,"Carroll, Lewis, 1832-1898",2008,Fantasy fiction; Children's stories; Imaginary places -- Juvenile fiction; Alice (Fictitious character from Carroll) -- Juvenile fiction,PR; PZ,https://www.gutenberg.org/ebooks/11
fiction\2641_A_Room_with_a_View.txt,fiction,2641,A Room with a View,"Forster, E. M. (Edward Morgan), 1879-1970",2001,Humorous stories; England -- Fiction; Young women -- Fiction; British -- Italy -- Fiction; Florence (Italy) -- Fiction,PR,https://www.gutenberg.org/ebooks/2641
fiction\64317_The_Great_Gatsby.txt,fiction,64317,The Great Gatsby,"Fitzgerald, F. Scott (Francis Scott), 1896-1940",2021,Psychological fiction; First loves -- Fiction; Married women -- Fiction; Rich people -- Fiction; Long Island (N.Y.) -- Fiction,PS,https://www.gutenberg.org/ebooks/64317
fiction\8492_The_King_in_Yellow.txt,fiction,8492,The King in Yellow,"Chambers, Robert W. (Robert William), 1865-1933",2005,"Short stories, American; Horror tales, American; United States -- Social life and customs -- 19th century -- Fiction",PS,https://www.gutenberg.org/ebooks/8492
fiction\1260_Jane_Eyre_An_Autobiography.txt,fiction,1260,Jane Eyre: An Autobiography,"BrontÃ«, Charlotte, 1816-1855; Townsend, F. H. (Frederick Henry), 1868-1920 [Illustrator]",1998,Orphans -- Fiction; England -- Fiction; Young women -- Fiction; Love stories; Governesses -- Fiction; Fathers and daughters -- Fiction; Mentally ill women -- Fiction; Charity-schools -- Fiction; Married people -- Fiction; Country homes -- Fiction; Bildungsromans,PR,https://www.gutenberg.org/ebooks/1260
fiction\145_Middlemarch.txt,fiction,145,Middlemarch,"Eliot, George, 1819-1880",1994,Didactic fiction; City and town life -- Fiction; England -- Fiction; Young women -- Fiction; Love stories; Domestic fiction; Married people -- Fiction; Bildungsromans,PR,https://www.gutenberg.org/ebooks/145
fiction\67979_The_Blue_Castle_a_novel.txt,fiction,67979,The Blue Castle: a novel,"Montgomery, L. M. (Lucy Maud), 1874-1942",2022,Self-actualization (Psychology) -- Fiction; Single women -- Fiction; Canada -- History -- 1914-1945 -- Fiction; Romance fiction; Love -- Fiction; Young adult fiction; Choice (Psychology) -- Fiction,PZ; PS,https://www.gutenberg.org/ebooks/67979
fiction\37106_Little_Women_Or_Meg_Jo_Beth_and_Amy.txt,fiction,37106,"Little Women; Or, Meg, Jo, Beth, and Amy","Alcott, Louisa May, 1832-1888; Merrill, Frank T., 1848-1923 [Illustrator]",2011,Autobiographical fiction; Young women -- Fiction; Sisters -- Fiction; Domestic fiction; Family life -- New England -- Fiction; New England -- Fiction; Bildungsromans; Mothers and daughters -- Fiction; March family (Fictitious characters) -- Fiction,PZ; PS,https://www.gutenberg.org/ebooks/37106
fiction\345_Dracula.txt,fiction,345,Dracula,"Stoker, Bram, 1847-1912",1995,"Horror tales; Epistolary fiction; Gothic fiction; Vampires -- Fiction; Dracula, Count (Fictitious character) -- Fiction; Transylvania (Romania) -- Fiction; Whitby (England) -- Fiction",PR,https://www.gutenberg.org/ebooks/345
nonfiction\5197_My_Life_â_Volume_1.txt,nonfiction,5197,My Life â Volume 1,"Wagner, Richard, 1813-1883",2004,"Wagner, Richard, 1813-1883; Composers -- Germany -- Biography",ML,https://www.gutenberg.org/ebooks/5197
fiction\1184_The_Count_of_Monte_Cristo.txt,fiction,1184,The Count of Monte Cristo,"Dumas, Alexandre, 1802-1870; Maquet, Auguste, 1813-1888",1998,"Historical fiction; Revenge -- Fiction; Adventure stories; Prisoners -- Fiction; France -- History -- 19th century -- Fiction; Pirates -- Fiction; DantÃ¨s, Edmond (Fictitious character) -- Fiction",PQ,https://www.gutenberg.org/ebooks/1184
fiction\768_Wuthering_Heights.txt,fiction,768,Wuthering Heights,"BrontÃ«, Emily, 1818-1848",1996,Revenge -- Fiction; Psychological fiction; Rejection (Psychology) -- Fiction; Love stories; Domestic fiction; Yorkshire (England) -- Fiction; Foundlings -- Fiction; Rural families -- Fiction; Heathcliff (Fictitious character : BrontÃ«) -- Fiction; Triangles (Interpersonal relations) -- Fiction,PR,https://www.gutenberg.org/ebooks/768
fiction\1661_The_Adventures_of_Sherlock_Holmes.txt,fiction,1661,The Adventures of Sherlock Holmes,"Doyle, Arthur Conan, 1859-1930",1999,"Holmes, Sherlock (Fictitious character) -- Fiction; Private investigators -- England -- Fiction; Detective and mystery stories, English",PR,https://www.gutenberg.org/ebooks/1661
fiction\174_The_Picture_of_Dorian_Gray.txt,fiction,174,The Picture of Dorian Gray,"Wilde, Oscar, 1854-1900",1994,"Didactic fiction; Supernatural -- Fiction; Conduct of life -- Fiction; Portraits -- Fiction; Great Britain -- History -- Victoria, 1837-1901 -- Fiction; London (England) -- History -- 1800-1950 -- Fiction; Appearance (Philosophy) -- Fiction; Paranormal fiction",PR,https://www.gutenberg.org/ebooks/174
nonfiction\3296_The_Confessions_of_St_Augustine.txt,nonfiction,3296,The Confessions of St. Augustine,"Augustine, of Hippo, Saint, 354-430; Pusey, E. B. (Edward Bouverie), 1800-1882 [Translator]",2002,"Augustine, of Hippo, Saint, 354-430; Christian saints -- Algeria -- Hippo (Extinct city) -- Biography; Catholic Church -- Bishops -- Biography; Bishops -- Algeria -- Hippo (Extinct city) -- Biography",BR,https://www.gutenberg.org/ebooks/3296
fiction\1259_Twenty_years_after.txt,fiction,1259,Twenty years after,"Dumas, Alexandre, 1802-1870; Maquet, Auguste, 1813-1888",1998,"France -- History -- Louis XIV, 1643-1715 -- Fiction",PQ,https://www.gutenberg.org/ebooks/1259
fiction\76_Adventures_of_Huckleberry_Finn.txt,fiction,76,Adventures of Huckleberry Finn,"Twain, Mark, 1835-1910; Kemble, E. W. (Edward Windsor), 1861-1933 [Illustrator]",2004,"Humorous stories; Bildungsromans; Boys -- Fiction; Male friendship -- Fiction; Adventure stories; Missouri -- Fiction; Race relations -- Fiction; Runaway children -- Fiction; Finn, Huckleberry (Fictitious character) -- Fiction; Fugitive slaves -- Fiction; Mississippi River -- Fiction",PS,https://www.gutenberg.org/ebooks/76
fiction\16389_The_Enchanted_April.txt,fiction,16389,The Enchanted April,"Von Arnim, Elizabeth, 1866-1941",2005,Love stories; Domestic fiction; Italy -- Fiction; Female friendship -- Fiction; British -- Italy -- Fiction,PR,https://www.gutenberg.org/ebooks/16389
fiction\1080_A_Modest_Proposal_For_preventing_the_children_of.txt,fiction,1080,"A Modest Proposal
For preventing the children of poor people in Ireland, from being a burden on their parents or country, and for making them beneficial to the publick","Swift, Jonathan, 1667-1745",1997,"Political satire, English; Religious satire, English; Ireland -- Politics and government -- 18th century -- Humor",PR,https://www.gutenberg.org/ebooks/1080
fiction\6593_History_of_Tom_Jones_a_Foundling.txt,fiction,6593,"History of Tom Jones, a Foundling","Fielding, Henry, 1707-1754",2004,Humorous stories; England -- Fiction; Bildungsromans; Young men -- Fiction; Foundlings -- Fiction; Identity (Psychology) -- Fiction,PR,https://www.gutenberg.org/ebooks/6593
fiction\6761_The_Adventures_of_Ferdinand_Count_Fathom_â_Complet.txt,fiction,6761,The Adventures of Ferdinand Count Fathom â Complete,"Smollett, T. (Tobias), 1721-1771",2004,Gothic fiction; Adventure stories,PR,https://www.gutenberg.org/ebooks/6761
fiction\394_Cranford.txt,fiction,394,Cranford,"Gaskell, Elizabeth Cleghorn, 1810-1865; Brock, C. E. (Charles Edmund), 1870-1938 [Illustrator]",1996,England -- Fiction; Sisters -- Fiction; Pastoral fiction; Villages -- Fiction; Older women -- Fiction; Female friendship -- Fiction,PR,https://www.gutenberg.org/ebooks/394
fiction\2160_The_Expedition_of_Humphry_Clinker.txt,fiction,2160,The Expedition of Humphry Clinker,"Smollett, T. (Tobias), 1721-1771",2000,Epistolary fiction; Travelers -- Fiction; Great Britain -- Fiction,PR,https://www.gutenberg.org/ebooks/2160
fiction\4085_The_Adventures_of_Roderick_Random.txt,fiction,4085,The Adventures of Roderick Random,"Smollett, T. (Tobias), 1721-1771",2003,Sea stories; England -- Fiction; Picaresque literature; Rogues and vagabonds -- Fiction; Sailors -- Fiction; Warships -- Fiction; Scots -- England -- Fiction; Impressment -- Fiction,PR,https://www.gutenberg.org/ebooks/4085
fiction\98_A_Tale_of_Two_Cities.txt,fiction,98,A Tale of Two Cities,"Dickens, Charles, 1812-1870",1994,"Historical fiction; France -- History -- Revolution, 1789-1799 -- Fiction; London (England) -- History -- 18th century -- Fiction; War stories; Executions and executioners -- Fiction; French -- England -- London -- Fiction; Lookalikes -- Fiction; British -- France -- Paris -- Fiction; Paris (France) -- History -- 1789-1799 -- Fiction",PR,https://www.gutenberg.org/ebooks/98
fiction\120_Treasure_Island.txt,fiction,120,Treasure Island,"Stevenson, Robert Louis, 1850-1894; Rhead, Louis, 1857-1926 [Illustrator]",2006,Sea stories; Pirates -- Fiction; Treasure troves -- Fiction; Treasure Island (Imaginary place) -- Fiction,PR; PZ,https://www.gutenberg.org/ebooks/120
fiction\23784_The_History_of_Sir_Richard_Calmady_A_Romance.txt,fiction,23784,The History of Sir Richard Calmady: A Romance,"Malet, Lucas, 1852-1931",2007,People with disabilities -- Fiction; Psychological fiction; Cousins -- Fiction; Triangles (Interpersonal relations) -- Fiction; Mothers and sons -- Fiction; Lesbians -- Fiction,PR,https://www.gutenberg.org/ebooks/23784
fiction\28054_The_Brothers_Karamazov.txt,fiction,28054,The Brothers Karamazov,"Dostoyevsky, Fyodor, 1821-1881; Garnett, Constance, 1861-1946 [Translator]",2009,Didactic fiction; Fathers and sons -- Fiction; Russia -- Social life and customs -- 1533-1917 -- Fiction; Brothers -- Fiction,PG,https://www.gutenberg.org/ebooks/28054
fiction\74_The_Adventures_of_Tom_Sawyer_Complete.txt,fiction,74,"The Adventures of Tom Sawyer, Complete","Twain, Mark, 1835-1910",2004,"Humorous stories; Bildungsromans; Boys -- Fiction; Male friendship -- Fiction; Adventure stories; Missouri -- Fiction; Sawyer, Tom (Fictitious character) -- Fiction; Child witnesses -- Fiction; Runaway children -- Fiction; Mississippi River Valley -- Fiction",PS,https://www.gutenberg.org/ebooks/74
fiction\1400_Great_Expectations.txt,fiction,1400,Great Expectations,"Dickens, Charles, 1812-1870",1998,Orphans -- Fiction; England -- Fiction; Revenge -- Fiction; Bildungsromans; Young men -- Fiction; Man-woman relationships -- Fiction; Ex-convicts -- Fiction; Benefactors -- Fiction,PR,https://www.gutenberg.org/ebooks/1400
nonfiction\2680_Meditations.txt,nonfiction,2680,Meditations,"Marcus Aurelius, Emperor of Rome, 121-180",2001,Stoics; Ethics; Life,B,https://www.gutenberg.org/ebooks/2680
fiction\2591_Grimms_Fairy_Tales.txt,fiction,2591,Grimms' Fairy Tales,"Grimm, Jacob, 1785-1863; Grimm, Wilhelm, 1786-1859",2001,Fairy tales -- Germany,PT,https://www.gutenberg.org/ebooks/2591
